floor,building,prox_threshold,min_AP_overlap,gain_error
3,1,3,4,7.9315
3,1,3,5,7.9315
3,1,4,1,11.363
3,1,4,2,11.363
3,1,4,3,11.345
3,1,4,4,11.351
3,1,4,5,11.382
3,1,5,1,8.7236
3,1,5,2,8.554
3,1,5,3,8.3371
3,1,5,4,7.8923
3,1,5,5,7.1646
3,1,7,1,7.8552
3,1,7,2,7.5156
3,1,7,3,7.1575
3,1,7,4,6.7948
3,1,7,5,6.0786
3,1,10,1,20.611
3,1,10,2,20.142
3,1,10,3,19.861
3,1,10,4,19.113
3,1,10,5,18.217
0,2,2,1,27.994
0,2,2,2,27.994
0,2,2,3,27.994
0,2,2,4,27.994
0,2,2,5,27.994
0,2,3,1,26.637
0,2,3,2,26.637
0,2,3,3,26.637
0,2,3,4,26.637
0,2,3,5,26.637
0,2,4,1,25.496
0,2,4,2,25.496
0,2,4,3,25.496
0,2,4,4,25.496
0,2,4,5,25.496
0,2,5,1,22.804
0,2,5,2,22.804
0,2,5,3,22.804
0,2,5,4,22.804
0,2,5,5,22.804
0,2,7,1,15.836
0,2,7,2,15.836
0,2,7,3,15.836
0,2,7,4,16.144
0,2,7,5,16.443
0,2,10,1,9.1627
0,2,10,2,9.1924
0,2,10,3,9.2243
0,2,10,4,9.3105
0,2,10,5,9.3561
1,2,2,1,46.409
1,2,2,2,46.409
1,2,2,3,46.409
1,2,2,4,46.409
1,2,2,5,46.409
1,2,3,1,46.409
1,2,3,2,46.409
1,2,3,3,46.409
1,2,3,4,46.409
1,2,3,5,46.409
1,2,4,1,46.409
1,2,4,2,46.409
1,2,4,3,46.409
1,2,4,4,46.409
1,2,4,5,46.409
1,2,5,1,46.582
1,2,5,2,46.582
1,2,5,3,46.582
1,2,5,4,46.582
1,2,5,5,46.582
1,2,7,1,39.35
1,2,7,2,39.35
1,2,7,3,39.35
1,2,7,4,39.35
1,2,7,5,39.35
1,2,10,1,33.165
1,2,10,2,33.165
1,2,10,3,33.165
1,2,10,4,33.165
1,2,10,5,33.165
2,2,2,1,2.178
2,2,2,2,2.178
2,2,2,3,2.178
2,2,2,4,2.178
2,2,2,5,2.178
2,2,3,1,2.178
2,2,3,2,2.178
2,2,3,3,2.178
2,2,3,4,2.178
2,2,3,5,2.178
2,2,4,1,2.178
2,2,4,2,2.178
2,2,4,3,2.178
2,2,4,4,2.178
2,2,4,5,2.178
2,2,5,1,0.4424
2,2,5,2,0.4424
2,2,5,3,0.4424
2,2,5,4,0.4424
