396.25,135.07,404.18,129.13
368.67,148.67,373.74,118.82
364.27,153.44,375.26,142.13
355.47,144.23,357.66,130.55
339.75,95.206,345.95,88.498
371.03,78.495,355.8,85.539
398.37,60.445,375.58,73.935
344.79,117.81,366.03,80.221
418.16,122.75,410.24,123.56
380.58,141.33,376.44,144.59
346.74,124.02,348.28,111.58
426.05,98.325,0,0
429.47,109.22,0,0
426.73,104.97,411.62,103.64
396.09,135.11,399.31,138.46
424.11,117.18,404.18,129.13
419.1,126.52,411.42,126.02
407.54,125.87,404.18,129.13
405.43,134.1,404.18,129.13
395.53,133.04,404.18,129.13
389.36,147.75,399.31,138.46
376.26,144.84,408.31,147.76
389.8,134.07,386.02,137.8
386.47,137.27,385.91,138.97
